load,duration,system,type,countTh,cpuTh,methodTimeTh,memoryUsageTh,heapTh,numMsgs,option,foundAP,time
25,3,openmrs,CTH,20,60,-1,-1,-1,-1,min,0,2
25,3,openmrs,CTH,20,60,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,60,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,65,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,65,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,65,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,70,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,70,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,70,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,75,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,75,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,75,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,80,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,80,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,80,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,85,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,85,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,85,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,90,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,90,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,90,-1,-1,-1,-1,average,0,1
25,3,openmrs,CTH,20,95,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,95,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,95,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,25,5,-1,-1,-1,-1,min,0,13
25,3,openmrs,CTH,25,5,-1,-1,-1,-1,max,1,16
25,3,openmrs,CTH,25,5,-1,-1,-1,-1,average,0,13
25,3,openmrs,CTH,25,10,-1,-1,-1,-1,min,0,12
25,3,openmrs,CTH,25,10,-1,-1,-1,-1,max,1,12
25,3,openmrs,CTH,25,10,-1,-1,-1,-1,average,0,13
25,3,openmrs,CTH,25,15,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,25,15,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,25,15,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,25,20,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,25,20,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,25,20,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,25,25,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,25,25,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,25,25,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,25,30,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,25,30,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,25,30,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,25,35,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,25,35,-1,-1,-1,-1,max,0,1
25,3,openmrs,CTH,25,35,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,25,40,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,25,40,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,25,40,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,25,45,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,25,45,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,25,45,-1,-1,-1,-1,average,0,0
